seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,is_local,direction,dlc,data_hex,interface
210,1786725755.8851826,617427.300294227,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
211,1786725755.9353092,617427.350421144,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
212,1786725755.989683,617427.404794769,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
213,1786725756.0352254,617427.450338435,853,0,0,0,0,BUS_RX,8,6300640000000000,can1
214,1786725756.0853028,617427.500416894,854,0,0,0,0,BUS_RX,8,64151400F0000000,can1
215,1786725756.1352928,617427.550404727,857,0,0,0,0,BUS_RX,8,0000000002000000,can1
216,1786725756.1362305,617427.551336144,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
217,1786725756.1852548,617427.60037881,858,0,0,0,0,BUS_RX,8,0000000000000000,can1
218,1786725756.235295,617427.650407477,860,0,0,0,0,BUS_RX,8,C000000000000000,can1
219,1786725756.2893376,617427.704450102,862,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
220,1786725756.3351696,617427.750281477,863,0,0,0,0,BUS_RX,8,2BA4EB0E2A020000,can1
221,1786725756.3862917,617427.801405477,880,0,0,0,0,BUS_RX,8,44594E4553532D4C,can1
222,1786725756.387393,617427.802502519,1023,0,0,0,0,BUS_RX,8,630F980000000001,can1
223,1786725756.4353018,617427.850414894,881,0,0,0,0,BUS_RX,8,2042415454455259,can1
224,1786725756.4851348,617427.900246436,781,0,0,0,0,BUS_RX,8,640005001E013002,can1
225,1786725756.6358101,617428.050921644,1023,0,0,0,0,BUS_RX,8,630F970000000001,can1
226,1786725756.6617184,617428.076831811,773,0,0,0,1,CERBO_TX,8,0000000000000000,can1
227,1786725756.6630688,617428.078177102,775,0,0,0,1,CERBO_TX,8,1234567856494300,can1
228,1786725756.8852682,617428.300379727,1023,0,0,0,0,BUS_RX,8,630F960000000001,can1
229,1786725756.9356327,617428.350746936,783,0,0,0,0,BUS_RX,8,0000000000000000,can1
230,1786725756.9857376,617428.400849436,849,0,0,0,0,BUS_RX,8,35026004880FE001,can1
