sample_id,wall_ts,mono_ts,cell_index,voltage_v,reconstructed,source,pack_voltage_v
84,1786718047.547,609720.535659511,9,3.401,0,json:reported,54.36
84,1786718047.547,609720.535659511,10,3.402,0,json:reported,54.36
84,1786718047.547,609720.535659511,11,3.37,0,json:reported,54.36
84,1786718047.547,609720.535659511,12,3.393,0,json:reported,54.36
84,1786718047.547,609720.535659511,13,3.402,0,json:reported,54.36
84,1786718047.547,609720.535659511,14,3.393,0,json:reported,54.36
84,1786718047.547,609720.535659511,15,3.398,0,json:reported,54.36
84,1786718047.547,609720.535659511,16,3.396000000000001,1,json:calculated,54.36
85,1786718047.547,609721.550822386,1,3.401,0,json:reported,54.36
85,1786718047.547,609721.550822386,2,3.399,0,json:reported,54.36
85,1786718047.547,609721.550822386,3,3.406,0,json:reported,54.36
85,1786718047.547,609721.550822386,4,3.404,0,json:reported,54.36
85,1786718047.547,609721.550822386,5,3.405,0,json:reported,54.36
85,1786718047.547,609721.550822386,6,3.39,0,json:reported,54.36
85,1786718047.547,609721.550822386,7,3.411,0,json:reported,54.36
85,1786718047.547,609721.550822386,8,3.389,0,json:reported,54.36
85,1786718047.547,609721.550822386,9,3.401,0,json:reported,54.36
85,1786718047.547,609721.550822386,10,3.402,0,json:reported,54.36
85,1786718047.547,609721.550822386,11,3.37,0,json:reported,54.36
85,1786718047.547,609721.550822386,12,3.393,0,json:reported,54.36
85,1786718047.547,609721.550822386,13,3.402,0,json:reported,54.36
85,1786718047.547,609721.550822386,14,3.393,0,json:reported,54.36
85,1786718047.547,609721.550822386,15,3.398,0,json:reported,54.36
85,1786718047.547,609721.550822386,16,3.396000000000001,1,json:calculated,54.36
86,1786718047.547,609722.56468572,1,3.401,0,json:reported,54.36
86,1786718047.547,609722.56468572,2,3.399,0,json:reported,54.36
86,1786718047.547,609722.56468572,3,3.406,0,json:reported,54.36
86,1786718047.547,609722.56468572,4,3.404,0,json:reported,54.36
86,1786718047.547,609722.56468572,5,3.405,0,json:reported,54.36
86,1786718047.547,609722.56468572,6,3.39,0,json:reported,54.36
86,1786718047.547,609722.56468572,7,3.411,0,json:reported,54.36
86,1786718047.547,609722.56468572,8,3.389,0,json:reported,54.36
86,1786718047.547,609722.56468572,9,3.401,0,json:reported,54.36
86,1786718047.547,609722.56468572,10,3.402,0,json:reported,54.36
86,1786718047.547,609722.56468572,11,3.37,0,json:reported,54.36
86,1786718047.547,609722.56468572,12,3.393,0,json:reported,54.36
86,1786718047.547,609722.56468572,13,3.402,0,json:reported,54.36
86,1786718047.547,609722.56468572,14,3.393,0,json:reported,54.36
86,1786718047.547,609722.56468572,15,3.398,0,json:reported,54.36
86,1786718047.547,609722.56468572,16,3.396000000000001,1,json:calculated,54.36
87,1786718047.547,609723.607803554,1,3.401,0,json:reported,54.36
87,1786718047.547,609723.607803554,2,3.399,0,json:reported,54.36
87,1786718047.547,609723.607803554,3,3.406,0,json:reported,54.36
87,1786718047.547,609723.607803554,4,3.404,0,json:reported,54.36
87,1786718047.547,609723.607803554,5,3.405,0,json:reported,54.36
87,1786718047.547,609723.607803554,6,3.39,0,json:reported,54.36
87,1786718047.547,609723.607803554,7,3.411,0,json:reported,54.36
87,1786718047.547,609723.607803554,8,3.389,0,json:reported,54.36
87,1786718047.547,609723.607803554,9,3.401,0,json:reported,54.36
87,1786718047.547,609723.607803554,10,3.402,0,json:reported,54.36
87,1786718047.547,609723.607803554,11,3.37,0,json:reported,54.36
87,1786718047.547,609723.607803554,12,3.393,0,json:reported,54.36
87,1786718047.547,609723.607803554,13,3.402,0,json:reported,54.36
87,1786718047.547,609723.607803554,14,3.393,0,json:reported,54.36
87,1786718047.547,609723.607803554,15,3.398,0,json:reported,54.36
87,1786718047.547,609723.607803554,16,3.396000000000001,1,json:calculated,54.36
88,1786718047.547,609724.644661763,1,3.401,0,json:reported,54.36
88,1786718047.547,609724.644661763,2,3.399,0,json:reported,54.36
88,1786718047.547,609724.644661763,3,3.406,0,json:reported,54.36
88,1786718047.547,609724.644661763,4,3.404,0,json:reported,54.36
88,1786718047.547,609724.644661763,5,3.405,0,json:reported,54.36
88,1786718047.547,609724.644661763,6,3.39,0,json:reported,54.36
88,1786718047.547,609724.644661763,7,3.411,0,json:reported,54.36
88,1786718047.547,609724.644661763,8,3.389,0,json:reported,54.36
88,1786718047.547,609724.644661763,9,3.401,0,json:reported,54.36
88,1786718047.547,609724.644661763,10,3.402,0,json:reported,54.36
88,1786718047.547,609724.644661763,11,3.37,0,json:reported,54.36
88,1786718047.547,609724.644661763,12,3.393,0,json:reported,54.36
88,1786718047.547,609724.644661763,13,3.402,0,json:reported,54.36
88,1786718047.547,609724.644661763,14,3.393,0,json:reported,54.36
88,1786718047.547,609724.644661763,15,3.398,0,json:reported,54.36
88,1786718047.547,609724.644661763,16,3.396000000000001,1,json:calculated,54.36
89,1786718047.547,609725.669597805,1,3.401,0,json:reported,54.36
89,1786718047.547,609725.669597805,2,3.399,0,json:reported,54.36
89,1786718047.547,609725.669597805,3,3.406,0,json:reported,54.36
89,1786718047.547,609725.669597805,4,3.404,0,json:reported,54.36
89,1786718047.547,609725.669597805,5,3.405,0,json:reported,54.36
89,1786718047.547,609725.669597805,6,3.39,0,json:reported,54.36
89,1786718047.547,609725.669597805,7,3.411,0,json:reported,54.36
89,1786718047.547,609725.669597805,8,3.389,0,json:reported,54.36
89,1786718047.547,609725.669597805,9,3.401,0,json:reported,54.36
89,1786718047.547,609725.669597805,10,3.402,0,json:reported,54.36
89,1786718047.547,609725.669597805,11,3.37,0,json:reported,54.36
89,1786718047.547,609725.669597805,12,3.393,0,json:reported,54.36
89,1786718047.547,609725.669597805,13,3.402,0,json:reported,54.36
89,1786718047.547,609725.669597805,14,3.393,0,json:reported,54.36
89,1786718047.547,609725.669597805,15,3.398,0,json:reported,54.36
89,1786718047.547,609725.669597805,16,3.396000000000001,1,json:calculated,54.36
90,1786718047.547,609726.685768847,1,3.401,0,json:reported,54.36
90,1786718047.547,609726.685768847,2,3.399,0,json:reported,54.36
90,1786718047.547,609726.685768847,3,3.406,0,json:reported,54.36
90,1786718047.547,609726.685768847,4,3.404,0,json:reported,54.36
90,1786718047.547,609726.685768847,5,3.405,0,json:reported,54.36
90,1786718047.547,609726.685768847,6,3.39,0,json:reported,54.36
90,1786718047.547,609726.685768847,7,3.411,0,json:reported,54.36
90,1786718047.547,609726.685768847,8,3.389,0,json:reported,54.36
90,1786718047.547,609726.685768847,9,3.401,0,json:reported,54.36
90,1786718047.547,609726.685768847,10,3.402,0,json:reported,54.36
90,1786718047.547,609726.685768847,11,3.37,0,json:reported,54.36
90,1786718047.547,609726.685768847,12,3.393,0,json:reported,54.36
90,1786718047.547,609726.685768847,13,3.402,0,json:reported,54.36
90,1786718047.547,609726.685768847,14,3.393,0,json:reported,54.36
90,1786718047.547,609726.685768847,15,3.398,0,json:reported,54.36
90,1786718047.547,609726.685768847,16,3.396000000000001,1,json:calculated,54.36
91,1786718055.69,609727.710488972,1,3.401,0,json:reported,54.36
91,1786718055.69,609727.710488972,2,3.399,0,json:reported,54.36
91,1786718055.69,609727.710488972,3,3.406,0,json:reported,54.36
91,1786718055.69,609727.710488972,4,3.405,0,json:reported,54.36
91,1786718055.69,609727.710488972,5,3.406,0,json:reported,54.36
91,1786718055.69,609727.710488972,6,3.391,0,json:reported,54.36
91,1786718055.69,609727.710488972,7,3.411,0,json:reported,54.36
91,1786718055.69,609727.710488972,8,3.389,0,json:reported,54.36
91,1786718055.69,609727.710488972,9,3.401,0,json:reported,54.36
91,1786718055.69,609727.710488972,10,3.403,0,json:reported,54.36
91,1786718055.69,609727.710488972,11,3.371,0,json:reported,54.36
91,1786718055.69,609727.710488972,12,3.394,0,json:reported,54.36
91,1786718055.69,609727.710488972,13,3.402,0,json:reported,54.36
91,1786718055.69,609727.710488972,14,3.393,0,json:reported,54.36
91,1786718055.69,609727.710488972,15,3.398,0,json:reported,54.36
91,1786718055.69,609727.710488972,16,3.3900000000000006,1,json:calculated,54.36
92,1786718055.69,609728.717196348,1,3.401,0,json:reported,54.36
92,1786718055.69,609728.717196348,2,3.399,0,json:reported,54.36
92,1786718055.69,609728.717196348,3,3.406,0,json:reported,54.36
92,1786718055.69,609728.717196348,4,3.405,0,json:reported,54.36
92,1786718055.69,609728.717196348,5,3.406,0,json:reported,54.36
92,1786718055.69,609728.717196348,6,3.391,0,json:reported,54.36
92,1786718055.69,609728.717196348,7,3.411,0,json:reported,54.36
92,1786718055.69,609728.717196348,8,3.389,0,json:reported,54.36
92,1786718055.69,609728.717196348,9,3.401,0,json:reported,54.36
92,1786718055.69,609728.717196348,10,3.403,0,json:reported,54.36
92,1786718055.69,609728.717196348,11,3.371,0,json:reported,54.36
92,1786718055.69,609728.717196348,12,3.394,0,json:reported,54.36
92,1786718055.69,609728.717196348,13,3.402,0,json:reported,54.36
92,1786718055.69,609728.717196348,14,3.393,0,json:reported,54.36
92,1786718055.69,609728.717196348,15,3.398,0,json:reported,54.36
92,1786718055.69,609728.717196348,16,3.3900000000000006,1,json:calculated,54.36
93,1786718055.69,609729.725775598,1,3.401,0,json:reported,54.36
93,1786718055.69,609729.725775598,2,3.399,0,json:reported,54.36
93,1786718055.69,609729.725775598,3,3.406,0,json:reported,54.36
93,1786718055.69,609729.725775598,4,3.405,0,json:reported,54.36
93,1786718055.69,609729.725775598,5,3.406,0,json:reported,54.36
93,1786718055.69,609729.725775598,6,3.391,0,json:reported,54.36
93,1786718055.69,609729.725775598,7,3.411,0,json:reported,54.36
93,1786718055.69,609729.725775598,8,3.389,0,json:reported,54.36
93,1786718055.69,609729.725775598,9,3.401,0,json:reported,54.36
93,1786718055.69,609729.725775598,10,3.403,0,json:reported,54.36
93,1786718055.69,609729.725775598,11,3.371,0,json:reported,54.36
93,1786718055.69,609729.725775598,12,3.394,0,json:reported,54.36
93,1786718055.69,609729.725775598,13,3.402,0,json:reported,54.36
93,1786718055.69,609729.725775598,14,3.393,0,json:reported,54.36
93,1786718055.69,609729.725775598,15,3.398,0,json:reported,54.36
93,1786718055.69,609729.725775598,16,3.3900000000000006,1,json:calculated,54.36
94,1786718055.69,609730.746430599,1,3.401,0,json:reported,54.36
94,1786718055.69,609730.746430599,2,3.399,0,json:reported,54.36
94,1786718055.69,609730.746430599,3,3.406,0,json:reported,54.36
94,1786718055.69,609730.746430599,4,3.405,0,json:reported,54.36
94,1786718055.69,609730.746430599,5,3.406,0,json:reported,54.36
94,1786718055.69,609730.746430599,6,3.391,0,json:reported,54.36
94,1786718055.69,609730.746430599,7,3.411,0,json:reported,54.36
94,1786718055.69,609730.746430599,8,3.389,0,json:reported,54.36
94,1786718055.69,609730.746430599,9,3.401,0,json:reported,54.36
94,1786718055.69,609730.746430599,10,3.403,0,json:reported,54.36
94,1786718055.69,609730.746430599,11,3.371,0,json:reported,54.36
94,1786718055.69,609730.746430599,12,3.394,0,json:reported,54.36
94,1786718055.69,609730.746430599,13,3.402,0,json:reported,54.36
94,1786718055.69,609730.746430599,14,3.393,0,json:reported,54.36
94,1786718055.69,609730.746430599,15,3.398,0,json:reported,54.36
94,1786718055.69,609730.746430599,16,3.3900000000000006,1,json:calculated,54.36
95,1786718055.69,609731.764147974,1,3.401,0,json:reported,54.36
95,1786718055.69,609731.764147974,2,3.399,0,json:reported,54.36
95,1786718055.69,609731.764147974,3,3.406,0,json:reported,54.36
95,1786718055.69,609731.764147974,4,3.405,0,json:reported,54.36
95,1786718055.69,609731.764147974,5,3.406,0,json:reported,54.36
95,1786718055.69,609731.764147974,6,3.391,0,json:reported,54.36
95,1786718055.69,609731.764147974,7,3.411,0,json:reported,54.36
95,1786718055.69,609731.764147974,8,3.389,0,json:reported,54.36
95,1786718055.69,609731.764147974,9,3.401,0,json:reported,54.36
95,1786718055.69,609731.764147974,10,3.403,0,json:reported,54.36
95,1786718055.69,609731.764147974,11,3.371,0,json:reported,54.36
95,1786718055.69,609731.764147974,12,3.394,0,json:reported,54.36
95,1786718055.69,609731.764147974,13,3.402,0,json:reported,54.36
95,1786718055.69,609731.764147974,14,3.393,0,json:reported,54.36
95,1786718055.69,609731.764147974,15,3.398,0,json:reported,54.36
95,1786718055.69,609731.764147974,16,3.3900000000000006,1,json:calculated,54.36
96,1786718055.69,609732.773036142,1,3.401,0,json:reported,54.36
96,1786718055.69,609732.773036142,2,3.399,0,json:reported,54.36
96,1786718055.69,609732.773036142,3,3.406,0,json:reported,54.36
96,1786718055.69,609732.773036142,4,3.405,0,json:reported,54.36
96,1786718055.69,609732.773036142,5,3.406,0,json:reported,54.36
96,1786718055.69,609732.773036142,6,3.391,0,json:reported,54.36
96,1786718055.69,609732.773036142,7,3.411,0,json:reported,54.36
96,1786718055.69,609732.773036142,8,3.389,0,json:reported,54.36
96,1786718055.69,609732.773036142,9,3.401,0,json:reported,54.36
96,1786718055.69,609732.773036142,10,3.403,0,json:reported,54.36
96,1786718055.69,609732.773036142,11,3.371,0,json:reported,54.36
96,1786718055.69,609732.773036142,12,3.394,0,json:reported,54.36
96,1786718055.69,609732.773036142,13,3.402,0,json:reported,54.36
96,1786718055.69,609732.773036142,14,3.393,0,json:reported,54.36
96,1786718055.69,609732.773036142,15,3.398,0,json:reported,54.36
96,1786718055.69,609732.773036142,16,3.3900000000000006,1,json:calculated,54.36
97,1786718055.69,609733.788409017,1,3.401,0,json:reported,54.36
97,1786718055.69,609733.788409017,2,3.399,0,json:reported,54.36
97,1786718055.69,609733.788409017,3,3.406,0,json:reported,54.36
97,1786718055.69,609733.788409017,4,3.405,0,json:reported,54.36
97,1786718055.69,609733.788409017,5,3.406,0,json:reported,54.36
97,1786718055.69,609733.788409017,6,3.391,0,json:reported,54.36
97,1786718055.69,609733.788409017,7,3.411,0,json:reported,54.36
97,1786718055.69,609733.788409017,8,3.389,0,json:reported,54.36
97,1786718055.69,609733.788409017,9,3.401,0,json:reported,54.36
97,1786718055.69,609733.788409017,10,3.403,0,json:reported,54.36
97,1786718055.69,609733.788409017,11,3.371,0,json:reported,54.36
97,1786718055.69,609733.788409017,12,3.394,0,json:reported,54.36
97,1786718055.69,609733.788409017,13,3.402,0,json:reported,54.36
97,1786718055.69,609733.788409017,14,3.393,0,json:reported,54.36
97,1786718055.69,609733.788409017,15,3.398,0,json:reported,54.36
97,1786718055.69,609733.788409017,16,3.3900000000000006,1,json:calculated,54.36
98,1786718055.69,609734.794149059,1,3.401,0,json:reported,54.36
98,1786718055.69,609734.794149059,2,3.399,0,json:reported,54.36
98,1786718055.69,609734.794149059,3,3.406,0,json:reported,54.36
98,1786718055.69,609734.794149059,4,3.405,0,json:reported,54.36
98,1786718055.69,609734.794149059,5,3.406,0,json:reported,54.36
98,1786718055.69,609734.794149059,6,3.391,0,json:reported,54.36
98,1786718055.69,609734.794149059,7,3.411,0,json:reported,54.36
98,1786718055.69,609734.794149059,8,3.389,0,json:reported,54.36
98,1786718055.69,609734.794149059,9,3.401,0,json:reported,54.36
98,1786718055.69,609734.794149059,10,3.403,0,json:reported,54.36
98,1786718055.69,609734.794149059,11,3.371,0,json:reported,54.36
98,1786718055.69,609734.794149059,12,3.394,0,json:reported,54.36
98,1786718055.69,609734.794149059,13,3.402,0,json:reported,54.36
98,1786718055.69,609734.794149059,14,3.393,0,json:reported,54.36
98,1786718055.69,609734.794149059,15,3.398,0,json:reported,54.36
98,1786718055.69,609734.794149059,16,3.3900000000000006,1,json:calculated,54.36
99,1786718063.493,609735.82223806,1,3.401,0,json:reported,54.37
99,1786718063.493,609735.82223806,2,3.399,0,json:reported,54.37
99,1786718063.493,609735.82223806,3,3.407,0,json:reported,54.37
99,1786718063.493,609735.82223806,4,3.405,0,json:reported,54.37
99,1786718063.493,609735.82223806,5,3.406,0,json:reported,54.37
99,1786718063.493,609735.82223806,6,3.391,0,json:reported,54.37
99,1786718063.493,609735.82223806,7,3.411,0,json:reported,54.37
99,1786718063.493,609735.82223806,8,3.389,0,json:reported,54.37
99,1786718063.493,609735.82223806,9,3.401,0,json:reported,54.37
99,1786718063.493,609735.82223806,10,3.403,0,json:reported,54.37
99,1786718063.493,609735.82223806,11,3.371,0,json:reported,54.37
99,1786718063.493,609735.82223806,12,3.394,0,json:reported,54.37
99,1786718063.493,609735.82223806,13,3.403,0,json:reported,54.37
99,1786718063.493,609735.82223806,14,3.394,0,json:reported,54.37
99,1786718063.493,609735.82223806,15,3.398,0,json:reported,54.37
99,1786718063.493,609735.82223806,16,3.3969999999999985,1,json:calculated,54.37
100,1786718063.493,609736.843050268,1,3.401,0,json:reported,54.37
100,1786718063.493,609736.843050268,2,3.399,0,json:reported,54.37
100,1786718063.493,609736.843050268,3,3.407,0,json:reported,54.37
100,1786718063.493,609736.843050268,4,3.405,0,json:reported,54.37
100,1786718063.493,609736.843050268,5,3.406,0,json:reported,54.37
100,1786718063.493,609736.843050268,6,3.391,0,json:reported,54.37
100,1786718063.493,609736.843050268,7,3.411,0,json:reported,54.37
100,1786718063.493,609736.843050268,8,3.389,0,json:reported,54.37
100,1786718063.493,609736.843050268,9,3.401,0,json:reported,54.37
100,1786718063.493,609736.843050268,10,3.403,0,json:reported,54.37
100,1786718063.493,609736.843050268,11,3.371,0,json:reported,54.37
100,1786718063.493,609736.843050268,12,3.394,0,json:reported,54.37
100,1786718063.493,609736.843050268,13,3.403,0,json:reported,54.37
100,1786718063.493,609736.843050268,14,3.394,0,json:reported,54.37
100,1786718063.493,609736.843050268,15,3.398,0,json:reported,54.37
100,1786718063.493,609736.843050268,16,3.3969999999999985,1,json:calculated,54.37
101,1786718063.493,609737.848784561,1,3.401,0,json:reported,54.37
101,1786718063.493,609737.848784561,2,3.399,0,json:reported,54.37
101,1786718063.493,609737.848784561,3,3.407,0,json:reported,54.37
101,1786718063.493,609737.848784561,4,3.405,0,json:reported,54.37
101,1786718063.493,609737.848784561,5,3.406,0,json:reported,54.37
101,1786718063.493,609737.848784561,6,3.391,0,json:reported,54.37
101,1786718063.493,609737.848784561,7,3.411,0,json:reported,54.37
101,1786718063.493,609737.848784561,8,3.389,0,json:reported,54.37
101,1786718063.493,609737.848784561,9,3.401,0,json:reported,54.37
101,1786718063.493,609737.848784561,10,3.403,0,json:reported,54.37
101,1786718063.493,609737.848784561,11,3.371,0,json:reported,54.37
101,1786718063.493,609737.848784561,12,3.394,0,json:reported,54.37
101,1786718063.493,609737.848784561,13,3.403,0,json:reported,54.37
101,1786718063.493,609737.848784561,14,3.394,0,json:reported,54.37
101,1786718063.493,609737.848784561,15,3.398,0,json:reported,54.37
101,1786718063.493,609737.848784561,16,3.3969999999999985,1,json:calculated,54.37
102,1786718063.493,609738.859156644,1,3.401,0,json:reported,54.37
102,1786718063.493,609738.859156644,2,3.399,0,json:reported,54.37
102,1786718063.493,609738.859156644,3,3.407,0,json:reported,54.37
102,1786718063.493,609738.859156644,4,3.405,0,json:reported,54.37
102,1786718063.493,609738.859156644,5,3.406,0,json:reported,54.37
102,1786718063.493,609738.859156644,6,3.391,0,json:reported,54.37
102,1786718063.493,609738.859156644,7,3.411,0,json:reported,54.37
102,1786718063.493,609738.859156644,8,3.389,0,json:reported,54.37
102,1786718063.493,609738.859156644,9,3.401,0,json:reported,54.37
102,1786718063.493,609738.859156644,10,3.403,0,json:reported,54.37
102,1786718063.493,609738.859156644,11,3.371,0,json:reported,54.37
102,1786718063.493,609738.859156644,12,3.394,0,json:reported,54.37
102,1786718063.493,609738.859156644,13,3.403,0,json:reported,54.37
102,1786718063.493,609738.859156644,14,3.394,0,json:reported,54.37
102,1786718063.493,609738.859156644,15,3.398,0,json:reported,54.37
102,1786718063.493,609738.859156644,16,3.3969999999999985,1,json:calculated,54.37
103,1786718063.493,609739.876717645,1,3.401,0,json:reported,54.37
103,1786718063.493,609739.876717645,2,3.399,0,json:reported,54.37
103,1786718063.493,609739.876717645,3,3.407,0,json:reported,54.37
103,1786718063.493,609739.876717645,4,3.405,0,json:reported,54.37
103,1786718063.493,609739.876717645,5,3.406,0,json:reported,54.37
103,1786718063.493,609739.876717645,6,3.391,0,json:reported,54.37
103,1786718063.493,609739.876717645,7,3.411,0,json:reported,54.37
103,1786718063.493,609739.876717645,8,3.389,0,json:reported,54.37
103,1786718063.493,609739.876717645,9,3.401,0,json:reported,54.37
103,1786718063.493,609739.876717645,10,3.403,0,json:reported,54.37
103,1786718063.493,609739.876717645,11,3.371,0,json:reported,54.37
103,1786718063.493,609739.876717645,12,3.394,0,json:reported,54.37
103,1786718063.493,609739.876717645,13,3.403,0,json:reported,54.37
103,1786718063.493,609739.876717645,14,3.394,0,json:reported,54.37
