seq,wall_ts,mono_ts,can_id,is_extended,is_remote,is_error,dlc,data_hex,interface
2954,1786717308.5996337,608980.144352699,485490496,1,0,0,8,6699000201000000,can0
2955,1786717308.6006331,608980.145346408,485490496,1,0,0,8,6699020200000000,can0
2956,1786717308.6014004,608980.146113241,485490496,1,0,0,8,6699070200000000,can0
2957,1786717308.6032417,608980.147959074,485490496,1,0,0,8,66991E0300000000,can0
2958,1786717308.604123,608980.148837241,485490496,1,0,0,8,66991C0300000000,can0
2959,1786717308.6064343,608980.151148158,485490496,1,0,0,8,66998DED7C150000,can0
2960,1786717308.6399195,608980.184639199,485490497,1,0,0,8,66998FEDE2000000,can0
2961,1786717308.647147,608980.191867116,485490496,1,0,0,8,66998FED00010000,can0
2962,1786717308.648462,608980.193179783,485490496,1,0,0,8,6699ECED04740000,can0
2963,1786717308.651479,608980.196196616,485490496,1,0,0,8,6699DAED00000000,can0
2964,1786717308.6931524,608980.237872158,485490497,1,0,0,8,6699BCED6CE00100,can0
2965,1786717308.6947646,608980.239483283,485490497,1,0,0,8,6699CCEC2C790000,can0
2966,1786717308.6960027,608980.240718699,485490497,1,0,0,8,6699CBECCA880000,can0
2967,1786717308.69682,608980.241533949,485490497,1,0,0,8,6699DCEC27D70000,can0
2968,1786717308.6975746,608980.242288741,485490497,1,0,0,8,6699DBECDC900000,can0
2969,1786717308.6983094,608980.243023408,485490497,1,0,0,8,6699ECEC09970000,can0
2970,1786717308.69932,608980.244034824,485490497,1,0,0,8,6699EBEC648C0000,can0
2971,1786717308.700099,608980.244814324,485490497,1,0,0,8,6699FBECA2550000,can0
2972,1786717308.8070078,608980.351728158,485490496,1,0,0,8,66998FED01010000,can0
2973,1786717308.8314514,608980.376171824,502267713,1,0,0,8,40266699501000E9,can0
2974,1786717308.8324819,608980.377195408,502267713,1,0,0,8,41000000FFFFFFFF,can0
2975,1786717308.833154,608980.377866658,502267713,1,0,0,8,428515AF14000000,can0
2976,1786717308.8337886,608980.378501116,502267713,1,0,0,8,430000C102000000,can0
2977,1786717308.8343875,608980.379099324,502267713,1,0,0,8,4400350900009F01,can0
2978,1786717308.834971,608980.379683324,502267713,1,0,0,8,458A9A1300FFFFFF,can0
2979,1786717308.8359113,608980.380626991,502267713,1,0,0,8,60286699A0100013,can0
2980,1786717308.8369565,608980.381672283,502267713,1,0,0,8,61002B0035003000,can0
2981,1786717308.840072,608980.384795366,502267713,1,0,0,8,6259007C01CE0298,can0
2982,1786717308.8410938,608980.385806366,502267713,1,0,0,8,630148055799FB98,can0
2983,1786717308.84165,608980.386363158,502267713,1,0,0,8,648A9A9E5CFFFFFF,can0
2984,1786717308.8421707,608980.386883241,502267713,1,0,0,8,65FFFFFFFFFFFFFF,can0
2985,1786717308.851182,608980.395901491,485490496,1,0,0,8,6699B3ED01000000,can0
2986,1786717308.8521125,608980.396827199,485490496,1,0,0,8,6699BCEDB6EA0100,can0
2987,1786717308.8614984,608980.406219158,485490496,1,0,0,8,6699BCEDB6EA0100,can0
2988,1786717308.862443,608980.407158949,485490496,1,0,0,8,6699B1ED35A07800,can0
2989,1786717308.863221,608980.407935741,485490496,1,0,0,8,6699CCECCE660000,can0
2990,1786717308.864078,608980.408791533,485490496,1,0,0,8,6699CBEC6D8E0000,can0
2991,1786717308.8648162,608980.409530283,485490496,1,0,0,8,6699DCEC5E930000,can0
2992,1786717308.8668406,608980.411558158,485490496,1,0,0,8,6699DBECDB910000,can0
2993,1786717308.8768854,608980.421606199,485490496,1,0,0,8,6699ECECB1E90000,can0
2994,1786717308.8777847,608980.422499616,485490496,1,0,0,8,6699EBEC488B0000,can0
2995,1786717308.8785088,608980.423222824,485490496,1,0,0,8,6699FBEC74570000,can0
2996,1786717308.9436736,608980.488393908,502267712,1,0,0,8,60266699501000B3,can0
2997,1786717308.9447362,608980.489451116,502267712,1,0,0,8,61020000FFFFFFFF,can0
2998,1786717308.9469433,608980.491664658,502267712,1,0,0,8,628515AB14000000,can0
2999,1786717308.951696,608980.496412158,502267712,1,0,0,8,630000C102000000,can0
3000,1786717308.9593954,608980.504109574,502267712,1,0,0,8,6400420E00009602,can0
3001,1786717308.9634423,608980.508158241,502267712,1,0,0,8,65EE9A4001FFFFFF,can0
3002,1786717309.0310102,608980.575730033,485490657,1,0,0,8,6699FF0FAC260000,can0
3003,1786717309.032135,608980.5768507,485490657,1,0,0,8,66991C20F042FFFF,can0
3004,1786717309.094155,608980.638880616,435295296,1,0,0,8,007C1504010474FA,can0
3005,1786717309.095249,608980.639963866,435294784,1,0,0,8,C00BFA0000FFFFFF,can0
3006,1786717309.0964646,608980.641179908,435294784,1,0,0,8,C1FF4B00FFFFFFFF,can0
3007,1786717309.0974505,608980.642165033,435357504,1,0,0,8,FA01310E580000FF,can0
3008,1786717309.0983074,608980.643021741,435294784,1,0,0,8,C00BFA0103FFFFFF,can0
3009,1786717309.0993662,608980.644081783,435294784,1,0,0,8,C1FFFFFFFFFFFFFF,can0
3010,1786717309.1121466,608980.656863866,435357504,1,0,0,8,FA02830E650000FF,can0
3011,1786717309.1129756,608980.657690283,435294784,1,0,0,8,A00BFA0203FFFFFF,can0
3012,1786717309.1136618,608980.658375991,435294784,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3013,1786717309.1142974,608980.659010866,435357504,1,0,0,8,FA03DD0DA10000FF,can0
3014,1786717309.1148574,608980.65957045,435294784,1,0,0,8,A00BFA0303FFFFFF,can0
3015,1786717309.1230392,608980.667756575,435294784,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3016,1786717309.1238637,608980.668578075,435357504,1,0,0,8,FA04BE08000000FF,can0
3017,1786717309.124529,608980.669243366,435294784,1,0,0,8,A00BFA0403FFFFFF,can0
3018,1786717309.1251776,608980.669892241,435294784,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3019,1786717309.1310086,608980.6757292,435357248,1,0,0,8,FAFFFC00FFFFFFFF,can0
3020,1786717309.1321967,608980.676912325,485490496,1,0,0,8,66994E0301000000,can0
3021,1786717309.1789656,608980.723685783,773,0,0,0,8,0000000000000000,can0
3022,1786717309.1800447,608980.724770283,775,0,0,0,8,1234567856494300,can0
3023,1786717309.2761366,608980.820857158,435295297,1,0,0,8,007C15DB00047425,can0
3024,1786717309.2780633,608980.822777991,435294785,1,0,0,8,C00B250000FFFFFF,can0
3025,1786717309.27917,608980.823884366,435294785,1,0,0,8,C1FF4600FFFFFFFF,can0
3026,1786717309.2802014,608980.824916033,435357505,1,0,0,8,25019E0D590000FF,can0
3027,1786717309.2811563,608980.825870991,435294785,1,0,0,8,C00B250103FFFFFF,can0
3028,1786717309.2925096,608980.837224908,435294785,1,0,0,8,C1FFFFFFFFFFFFFF,can0
3029,1786717309.2933276,608980.838041491,435357505,1,0,0,8,25026E0E8C0000FF,can0
3030,1786717309.2940066,608980.838719991,435294785,1,0,0,8,A00B250203FFFFFF,can0
3031,1786717309.2946625,608980.8393767,435294785,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3032,1786717309.2952855,608980.840242283,435357505,1,0,0,8,2503F70D6A0000FF,can0
3033,1786717309.299277,608980.843995866,435294785,1,0,0,8,A00B250303FFFFFF,can0
3034,1786717309.3022404,608980.846966741,435294785,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3035,1786717309.3035758,608980.848293825,435357505,1,0,0,8,25049008000000FF,can0
3036,1786717309.304359,608980.849072533,435294785,1,0,0,8,A00B250403FFFFFF,can0
3037,1786717309.3052366,608980.849952533,435294785,1,0,0,8,A1FFFFFFFFFFFFFF,can0
3038,1786717309.3157218,608980.860438241,435357249,1,0,0,8,25FFFC00FFFFFFFF,can0
3039,1786717309.408112,608980.9528332,485490496,1,0,0,8,66998DED7B150000,can0
3040,1786717309.4090047,608980.953718158,502267712,1,0,0,8,801D669943100108,can0
3041,1786717309.4096313,608980.95434445,502267712,1,0,0,8,810C0A00D03F0000,can0
3042,1786717309.4102068,608980.95491995,502267712,1,0,0,8,8200000000000000,can0
3043,1786717309.4108605,608980.955575033,502267712,1,0,0,8,8300000000000000,can0
3044,1786717309.4116085,608980.956323158,502267712,1,0,0,8,840000FFFFFFFFFF,can0
3045,1786717309.6398869,608981.184606658,485490497,1,0,0,8,66998FEDD9000000,can0
